,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,type
21,0.099,0.269,0.473,0.092,0.065,0.099,0.477,0.251,0.033,0.562,0.438,DNA
22,0.164,0.205,0.453,0.04,0.104,0.164,0.466,0.242,0.047,0.446,0.554,DNA
23,0.162,0.225,0.386,0.033,0.076,0.162,0.405,0.252,0.045,0.476,0.524,DNA
24,0.157,0.189,0.417,0.016,0.071,0.157,0.417,0.236,0.047,0.433,0.567,DNA
25,0.129,0.231,0.49,0.102,0.102,0.129,0.531,0.279,0.054,0.524,0.476,DNA
26,0.196,0.159,0.505,0.037,0.009,0.196,0.43,0.262,0.028,0.467,0.533,DNA
27,0.14,0.228,0.45,0.025,0.099,0.14,0.474,0.218,0.038,0.483,0.517,DNA
28,0.185,0.179,0.444,0.056,0.049,0.185,0.377,0.278,0.025,0.549,0.451,DNA
29,0.119,0.257,0.47,0.076,0.102,0.119,0.49,0.257,0.026,0.574,0.426,DNA
30,0.116,0.227,0.488,0.084,0.106,0.116,0.491,0.276,0.025,0.578,0.422,DNA
31,0.154,0.242,0.499,0.097,0.079,0.154,0.474,0.263,0.05,0.553,0.447,DNA
32,0.111,0.25,0.472,0.014,0.028,0.111,0.417,0.208,0.042,0.5,0.5,DNA
33,0.136,0.218,0.499,0.103,0.055,0.136,0.459,0.277,0.063,0.562,0.438,DNA
34,0.153,0.139,0.458,0.042,0.028,0.153,0.472,0.264,0.056,0.431,0.569,DNA
35,0.127,0.165,0.532,0.076,0.051,0.127,0.519,0.228,0.025,0.557,0.443,DNA
36,0.183,0.27,0.409,0.04,0.079,0.183,0.438,0.262,0.024,0.502,0.498,DNA
37,0.163,0.191,0.54,0.042,0.056,0.163,0.553,0.205,0.033,0.512,0.488,DNA
38,0.157,0.148,0.511,0.061,0.074,0.157,0.502,0.24,0.057,0.445,0.555,DNA
39,0.157,0.241,0.426,0.08,0.061,0.157,0.453,0.286,0.031,0.505,0.495,DNA
40,0.257,0.213,0.441,0.037,0.051,0.257,0.456,0.301,0.007,0.426,0.574,DNA
41,0.243,0.206,0.463,0.044,0.051,0.243,0.5,0.294,0.037,0.434,0.566,DNA
42,0.243,0.206,0.463,0.044,0.051,0.243,0.493,0.294,0.029,0.434,0.566,DNA
43,0.243,0.206,0.463,0.044,0.051,0.243,0.485,0.294,0.022,0.434,0.566,DNA
44,0.23,0.222,0.452,0.044,0.044,0.23,0.496,0.289,0.03,0.452,0.548,DNA
45,0.25,0.199,0.463,0.044,0.051,0.25,0.507,0.301,0.037,0.426,0.574,DNA
46,0.194,0.178,0.472,0.055,0.068,0.194,0.492,0.298,0.013,0.421,0.579,DNA
47,0.184,0.184,0.454,0.056,0.046,0.184,0.401,0.258,0.039,0.534,0.466,DNA
48,0.122,0.219,0.484,0.062,0.084,0.122,0.508,0.23,0.049,0.53,0.47,DNA
49,0.128,0.271,0.468,0.095,0.063,0.128,0.502,0.255,0.069,0.53,0.47,DNA
50,0.115,0.256,0.487,0.013,0.051,0.115,0.513,0.154,0.038,0.513,0.487,DNA
51,0.114,0.256,0.415,0.023,0.028,0.114,0.438,0.188,0.04,0.472,0.528,DNA
52,0.153,0.239,0.436,0.026,0.08,0.153,0.465,0.228,0.062,0.459,0.541,DNA
53,0.141,0.167,0.5,0.0,0.013,0.141,0.474,0.205,0.026,0.513,0.487,DNA
54,0.104,0.209,0.547,0.068,0.054,0.104,0.528,0.195,0.041,0.53,0.47,DNA
55,0.134,0.236,0.448,0.048,0.107,0.134,0.475,0.239,0.036,0.503,0.497,DNA
56,0.141,0.173,0.519,0.047,0.079,0.141,0.51,0.229,0.059,0.487,0.513,DNA
57,0.179,0.188,0.411,0.036,0.088,0.179,0.417,0.269,0.026,0.414,0.586,DNA
58,0.105,0.331,0.451,0.045,0.075,0.105,0.579,0.241,0.09,0.549,0.451,DNA
59,0.162,0.202,0.5,0.045,0.091,0.162,0.515,0.263,0.04,0.47,0.53,DNA
60,0.206,0.198,0.373,0.024,0.063,0.206,0.413,0.341,0.048,0.397,0.603,DNA
61,0.133,0.272,0.435,0.037,0.053,0.133,0.414,0.223,0.044,0.533,0.467,DNA
62,0.161,0.168,0.445,0.024,0.137,0.161,0.428,0.243,0.048,0.394,0.606,DNA
63,0.129,0.239,0.478,0.139,0.106,0.129,0.469,0.29,0.051,0.502,0.498,DNA
64,0.14,0.252,0.434,0.113,0.113,0.14,0.44,0.294,0.063,0.482,0.518,DNA
65,0.132,0.256,0.439,0.076,0.054,0.132,0.452,0.263,0.034,0.474,0.526,DNA
66,0.132,0.258,0.454,0.064,0.084,0.132,0.476,0.238,0.054,0.53,0.47,DNA
67,0.199,0.235,0.385,0.043,0.057,0.199,0.389,0.28,0.032,0.483,0.517,DNA
68,0.154,0.209,0.441,0.045,0.105,0.154,0.455,0.247,0.054,0.445,0.555,DNA
69,0.125,0.281,0.476,0.1,0.069,0.125,0.46,0.256,0.023,0.598,0.402,DNA
70,0.174,0.2,0.43,0.026,0.121,0.174,0.436,0.256,0.039,0.436,0.564,DNA
71,0.112,0.248,0.484,0.1,0.053,0.112,0.486,0.24,0.032,0.565,0.435,DNA
72,0.138,0.236,0.476,0.047,0.063,0.138,0.429,0.228,0.065,0.53,0.47,DNA
73,0.125,0.205,0.537,0.094,0.067,0.125,0.523,0.252,0.058,0.579,0.421,DNA
74,0.114,0.22,0.567,0.074,0.017,0.114,0.555,0.208,0.028,0.575,0.425,DNA
75,0.161,0.196,0.471,0.039,0.086,0.161,0.476,0.231,0.047,0.447,0.553,DNA
76,0.138,0.228,0.498,0.059,0.111,0.138,0.505,0.215,0.038,0.443,0.557,DNA
77,0.168,0.221,0.443,0.023,0.092,0.168,0.351,0.214,0.031,0.519,0.481,DNA
78,0.174,0.146,0.571,0.082,0.087,0.174,0.539,0.269,0.032,0.489,0.511,DNA
79,0.137,0.247,0.458,0.066,0.095,0.137,0.471,0.242,0.052,0.501,0.499,DNA
80,0.107,0.269,0.483,0.121,0.065,0.107,0.515,0.276,0.021,0.559,0.441,DNA
81,0.143,0.227,0.485,0.076,0.061,0.143,0.496,0.258,0.065,0.522,0.478,DNA
82,0.139,0.255,0.426,0.051,0.09,0.139,0.466,0.242,0.037,0.481,0.519,DNA
83,0.165,0.224,0.409,0.028,0.093,0.165,0.419,0.268,0.04,0.456,0.544,DNA
84,0.142,0.2,0.481,0.028,0.081,0.142,0.464,0.212,0.042,0.446,0.554,DNA
85,0.16,0.296,0.399,0.049,0.087,0.16,0.467,0.255,0.06,0.495,0.505,DNA
86,0.138,0.223,0.408,0.008,0.054,0.138,0.431,0.223,0.031,0.385,0.615,DNA
87,0.134,0.201,0.473,0.032,0.104,0.134,0.49,0.215,0.039,0.439,0.561,DNA
88,0.122,0.236,0.296,0.023,0.059,0.122,0.289,0.415,0.059,0.592,0.408,DNA
89,0.164,0.238,0.425,0.047,0.084,0.164,0.449,0.257,0.051,0.416,0.584,DNA
90,0.141,0.245,0.444,0.059,0.059,0.141,0.415,0.247,0.061,0.476,0.524,DNA
91,0.181,0.246,0.348,0.007,0.058,0.181,0.406,0.232,0.043,0.406,0.594,DNA
92,0.148,0.239,0.45,0.115,0.061,0.148,0.473,0.298,0.056,0.545,0.455,DNA
93,0.152,0.248,0.452,0.098,0.072,0.152,0.481,0.271,0.057,0.517,0.483,DNA
94,0.144,0.288,0.381,0.007,0.079,0.144,0.424,0.201,0.043,0.381,0.619,DNA
95,0.16,0.111,0.568,0.012,0.049,0.16,0.506,0.173,0.025,0.457,0.543,DNA
96,0.197,0.228,0.38,0.069,0.05,0.197,0.428,0.298,0.069,0.481,0.519,DNA
97,0.207,0.233,0.38,0.078,0.058,0.207,0.412,0.306,0.07,0.465,0.535,DNA
98,0.145,0.133,0.559,0.059,0.075,0.145,0.527,0.213,0.018,0.441,0.559,DNA
99,0.128,0.257,0.422,0.044,0.08,0.128,0.471,0.239,0.042,0.502,0.498,DNA
100,0.134,0.26,0.468,0.069,0.097,0.134,0.461,0.233,0.035,0.498,0.502,DNA
101,0.136,0.229,0.508,0.034,0.042,0.136,0.492,0.195,0.042,0.492,0.508,DNA
102,0.164,0.222,0.456,0.041,0.047,0.164,0.526,0.222,0.082,0.462,0.538,DNA
103,0.133,0.259,0.431,0.096,0.103,0.133,0.443,0.282,0.048,0.518,0.482,DNA
104,0.127,0.218,0.453,0.044,0.077,0.127,0.486,0.221,0.064,0.475,0.525,DNA
105,0.132,0.223,0.478,0.116,0.057,0.132,0.478,0.277,0.044,0.601,0.399,DNA
106,0.213,0.138,0.436,0.01,0.095,0.213,0.429,0.266,0.02,0.346,0.654,DNA
107,0.232,0.058,0.536,0.029,0.014,0.232,0.507,0.261,0.029,0.406,0.594,DNA
108,0.138,0.204,0.507,0.059,0.082,0.138,0.507,0.237,0.03,0.424,0.576,DNA
109,0.156,0.245,0.429,0.027,0.061,0.156,0.463,0.211,0.048,0.347,0.653,DNA
110,0.16,0.253,0.407,0.059,0.037,0.16,0.444,0.279,0.037,0.492,0.508,DNA
111,0.13,0.25,0.511,0.116,0.095,0.13,0.493,0.275,0.039,0.577,0.423,DNA
112,0.148,0.214,0.474,0.048,0.063,0.148,0.488,0.232,0.043,0.47,0.53,DNA
113,0.175,0.244,0.423,0.082,0.064,0.175,0.425,0.295,0.033,0.492,0.508,DNA
114,0.148,0.232,0.469,0.066,0.094,0.148,0.469,0.254,0.047,0.491,0.509,DNA
115,0.128,0.272,0.487,0.072,0.075,0.128,0.475,0.219,0.038,0.502,0.498,DNA
116,0.182,0.227,0.455,0.03,0.091,0.182,0.485,0.258,0.03,0.485,0.515,DNA
117,0.133,0.253,0.453,0.065,0.087,0.133,0.451,0.234,0.069,0.463,0.537,DNA
118,0.14,0.156,0.578,0.151,0.05,0.14,0.497,0.316,0.028,0.592,0.408,DNA
119,0.132,0.213,0.511,0.078,0.053,0.132,0.473,0.231,0.032,0.537,0.463,DNA
120,0.177,0.177,0.456,0.0,0.076,0.177,0.456,0.215,0.051,0.342,0.658,DNA
121,0.14,0.154,0.529,0.045,0.058,0.14,0.517,0.215,0.027,0.511,0.489,DNA
122,0.19,0.195,0.458,0.035,0.07,0.19,0.493,0.271,0.035,0.434,0.566,DNA
123,0.115,0.281,0.415,0.06,0.061,0.115,0.455,0.228,0.033,0.53,0.47,DNA
124,0.161,0.231,0.455,0.035,0.021,0.161,0.49,0.224,0.021,0.413,0.587,DNA
125,0.15,0.227,0.459,0.023,0.086,0.15,0.468,0.209,0.023,0.436,0.564,DNA
126,0.111,0.309,0.437,0.076,0.072,0.111,0.448,0.24,0.053,0.57,0.43,DNA
127,0.101,0.193,0.597,0.118,0.04,0.101,0.553,0.236,0.017,0.614,0.386,DNA
128,0.167,0.296,0.442,0.108,0.065,0.167,0.46,0.314,0.054,0.591,0.409,DNA
129,0.218,0.213,0.408,0.023,0.08,0.218,0.374,0.299,0.029,0.443,0.557,DNA
130,0.158,0.158,0.47,0.028,0.065,0.158,0.482,0.255,0.045,0.449,0.551,DNA
131,0.133,0.245,0.439,0.02,0.061,0.133,0.449,0.235,0.061,0.469,0.531,DNA
132,0.118,0.255,0.482,0.069,0.074,0.118,0.491,0.255,0.051,0.569,0.431,DNA
133,0.165,0.178,0.479,0.029,0.094,0.165,0.449,0.249,0.022,0.429,0.571,DNA
134,0.126,0.27,0.48,0.135,0.057,0.126,0.455,0.292,0.047,0.602,0.398,DNA
135,0.203,0.234,0.438,0.055,0.102,0.203,0.562,0.305,0.094,0.477,0.523,DNA
136,0.127,0.216,0.54,0.127,0.083,0.127,0.531,0.287,0.028,0.577,0.423,DNA
137,0.152,0.21,0.479,0.054,0.077,0.152,0.479,0.246,0.034,0.463,0.537,DNA
138,0.141,0.267,0.432,0.049,0.101,0.141,0.468,0.238,0.029,0.447,0.553,DNA
139,0.143,0.232,0.453,0.05,0.091,0.143,0.483,0.224,0.053,0.444,0.556,DNA
140,0.127,0.353,0.347,0.051,0.077,0.127,0.393,0.225,0.029,0.515,0.485,DNA
141,0.172,0.113,0.529,0.038,0.071,0.172,0.483,0.256,0.029,0.437,0.563,DNA
142,0.16,0.252,0.41,0.056,0.066,0.16,0.429,0.265,0.035,0.522,0.478,DNA
143,0.251,0.13,0.34,0.06,0.084,0.251,0.326,0.33,0.042,0.423,0.577,DNA
144,0.172,0.226,0.462,0.022,0.086,0.172,0.473,0.215,0.011,0.366,0.634,DNA
145,0.174,0.164,0.487,0.01,0.077,0.174,0.472,0.226,0.041,0.39,0.61,DNA
146,0.169,0.181,0.478,0.088,0.088,0.169,0.51,0.321,0.028,0.51,0.49,DNA
147,0.153,0.168,0.475,0.045,0.129,0.153,0.446,0.257,0.015,0.441,0.559,DNA
148,0.177,0.189,0.507,0.125,0.03,0.177,0.491,0.318,0.062,0.545,0.455,DNA
149,0.126,0.222,0.553,0.17,0.058,0.126,0.521,0.312,0.033,0.6,0.4,DNA
150,0.105,0.296,0.456,0.114,0.045,0.105,0.462,0.276,0.043,0.588,0.412,DNA
151,0.194,0.211,0.441,0.031,0.07,0.194,0.447,0.25,0.034,0.449,0.551,DNA
152,0.163,0.247,0.407,0.074,0.035,0.163,0.442,0.298,0.019,0.583,0.417,DNA
153,0.134,0.233,0.493,0.081,0.087,0.134,0.475,0.23,0.039,0.484,0.516,DNA
154,0.111,0.268,0.519,0.105,0.051,0.111,0.557,0.239,0.032,0.561,0.439,DNA
155,0.186,0.24,0.391,0.047,0.081,0.186,0.421,0.276,0.038,0.479,0.521,DNA
156,0.141,0.178,0.54,0.111,0.088,0.141,0.533,0.286,0.048,0.588,0.412,DNA
157,0.128,0.253,0.537,0.149,0.066,0.128,0.545,0.301,0.053,0.617,0.383,DNA
158,0.162,0.237,0.485,0.081,0.04,0.162,0.51,0.293,0.091,0.591,0.409,DNA
159,0.168,0.22,0.449,0.047,0.136,0.168,0.439,0.262,0.023,0.486,0.514,DNA
160,0.165,0.169,0.494,0.051,0.118,0.165,0.502,0.257,0.021,0.333,0.667,DNA
161,0.156,0.227,0.446,0.048,0.1,0.156,0.465,0.227,0.019,0.45,0.55,DNA
162,0.128,0.148,0.576,0.054,0.059,0.128,0.547,0.202,0.034,0.478,0.522,DNA
163,0.121,0.188,0.552,0.061,0.079,0.121,0.515,0.212,0.018,0.527,0.473,DNA
164,0.184,0.152,0.479,0.049,0.109,0.184,0.454,0.256,0.018,0.398,0.602,DNA
165,0.19,0.154,0.476,0.045,0.112,0.19,0.458,0.254,0.019,0.418,0.582,DNA
166,0.182,0.156,0.475,0.046,0.108,0.182,0.455,0.253,0.018,0.386,0.614,DNA
167,0.137,0.212,0.486,0.024,0.09,0.137,0.491,0.203,0.038,0.476,0.524,DNA
168,0.113,0.286,0.445,0.063,0.068,0.113,0.509,0.211,0.103,0.572,0.428,DNA
169,0.134,0.272,0.451,0.109,0.093,0.134,0.477,0.288,0.045,0.541,0.459,DNA
170,0.122,0.201,0.525,0.038,0.061,0.122,0.542,0.21,0.029,0.431,0.569,DNA
171,0.175,0.267,0.393,0.049,0.131,0.175,0.403,0.277,0.019,0.437,0.563,DNA
172,0.169,0.136,0.503,0.042,0.071,0.169,0.486,0.282,0.023,0.446,0.554,DNA
173,0.162,0.166,0.494,0.043,0.097,0.162,0.469,0.236,0.034,0.459,0.541,DNA
174,0.142,0.213,0.493,0.052,0.101,0.142,0.496,0.243,0.049,0.534,0.466,DNA
175,0.191,0.183,0.473,0.046,0.069,0.191,0.473,0.275,0.061,0.458,0.542,DNA
176,0.15,0.168,0.478,0.035,0.027,0.15,0.5,0.208,0.035,0.5,0.5,DNA
177,0.14,0.255,0.424,0.043,0.122,0.14,0.457,0.212,0.032,0.381,0.619,DNA
178,0.178,0.136,0.481,0.042,0.115,0.178,0.43,0.249,0.012,0.383,0.617,DNA
179,0.135,0.287,0.444,0.101,0.028,0.135,0.501,0.269,0.03,0.586,0.414,DNA
180,0.208,0.132,0.472,0.038,0.075,0.208,0.396,0.302,0.075,0.396,0.604,DNA
181,0.165,0.205,0.464,0.038,0.137,0.165,0.468,0.233,0.04,0.43,0.57,DNA
182,0.154,0.171,0.473,0.034,0.117,0.154,0.476,0.268,0.031,0.439,0.561,DNA
183,0.152,0.206,0.43,0.045,0.094,0.152,0.471,0.265,0.022,0.475,0.525,DNA
184,0.172,0.176,0.458,0.034,0.08,0.172,0.45,0.277,0.029,0.429,0.571,DNA
185,0.18,0.203,0.391,0.023,0.078,0.18,0.414,0.289,0.031,0.383,0.617,DNA
186,0.2,0.2,0.422,0.0,0.022,0.2,0.422,0.244,0.089,0.356,0.644,DNA
187,0.131,0.266,0.44,0.065,0.053,0.131,0.448,0.258,0.036,0.605,0.395,DNA
188,0.119,0.246,0.41,0.056,0.056,0.119,0.433,0.235,0.022,0.494,0.506,DNA
189,0.15,0.198,0.533,0.12,0.066,0.15,0.548,0.299,0.039,0.608,0.392,DNA
190,0.149,0.214,0.474,0.046,0.043,0.149,0.492,0.226,0.025,0.52,0.48,DNA
191,0.103,0.282,0.483,0.058,0.049,0.103,0.465,0.208,0.062,0.554,0.446,DNA
192,0.162,0.125,0.566,0.051,0.125,0.162,0.522,0.228,0.029,0.434,0.566,DNA
193,0.138,0.214,0.469,0.046,0.051,0.138,0.454,0.224,0.051,0.444,0.556,DNA
194,0.2,0.228,0.447,0.038,0.097,0.2,0.472,0.256,0.028,0.381,0.619,DNA
195,0.12,0.285,0.443,0.061,0.079,0.12,0.443,0.239,0.056,0.483,0.517,DNA
196,0.161,0.222,0.389,0.022,0.061,0.161,0.394,0.244,0.028,0.406,0.594,DNA
197,0.16,0.232,0.464,0.044,0.066,0.16,0.519,0.232,0.05,0.475,0.525,DNA
198,0.136,0.237,0.474,0.122,0.05,0.136,0.484,0.295,0.03,0.519,0.481,DNA
199,0.134,0.242,0.485,0.036,0.088,0.134,0.464,0.186,0.062,0.474,0.526,DNA
200,0.225,0.179,0.397,0.007,0.06,0.225,0.417,0.278,0.033,0.364,0.636,DNA
201,0.163,0.206,0.424,0.019,0.093,0.163,0.432,0.206,0.047,0.397,0.603,DNA
202,0.152,0.17,0.502,0.046,0.062,0.152,0.489,0.229,0.032,0.494,0.506,DNA
203,0.091,0.249,0.549,0.137,0.097,0.091,0.494,0.266,0.037,0.594,0.406,DNA
204,0.197,0.161,0.492,0.031,0.052,0.197,0.472,0.264,0.041,0.446,0.554,DNA
205,0.114,0.194,0.497,0.054,0.051,0.114,0.494,0.2,0.011,0.563,0.437,DNA
206,0.195,0.174,0.426,0.032,0.068,0.195,0.442,0.3,0.058,0.5,0.5,DNA
207,0.191,0.204,0.395,0.019,0.083,0.191,0.376,0.287,0.057,0.395,0.605,DNA
208,0.153,0.183,0.498,0.04,0.089,0.153,0.49,0.23,0.025,0.453,0.547,DNA
209,0.144,0.213,0.472,0.044,0.066,0.144,0.47,0.232,0.044,0.453,0.547,DNA
210,0.17,0.17,0.511,0.08,0.074,0.17,0.431,0.266,0.005,0.489,0.511,DNA
211,0.19,0.135,0.465,0.01,0.125,0.19,0.465,0.225,0.04,0.34,0.66,DNA
212,0.148,0.271,0.383,0.048,0.064,0.148,0.407,0.25,0.031,0.519,0.481,DNA
213,0.155,0.194,0.526,0.026,0.056,0.155,0.5,0.194,0.039,0.47,0.53,DNA
214,0.134,0.25,0.464,0.036,0.08,0.134,0.527,0.196,0.054,0.429,0.571,DNA
215,0.1,0.282,0.458,0.089,0.066,0.1,0.495,0.216,0.042,0.595,0.405,DNA
216,0.153,0.255,0.459,0.019,0.102,0.153,0.471,0.21,0.032,0.51,0.49,DNA
217,0.151,0.176,0.49,0.049,0.084,0.151,0.494,0.231,0.036,0.47,0.53,DNA
218,0.146,0.274,0.436,0.051,0.074,0.146,0.433,0.226,0.064,0.528,0.472,DNA
219,0.121,0.262,0.492,0.129,0.059,0.121,0.49,0.282,0.034,0.57,0.43,DNA
220,0.184,0.172,0.479,0.049,0.067,0.184,0.472,0.245,0.031,0.429,0.571,DNA
221,0.121,0.312,0.419,0.088,0.076,0.121,0.474,0.251,0.059,0.515,0.485,DNA
222,0.148,0.177,0.486,0.035,0.08,0.148,0.479,0.222,0.028,0.438,0.562,DNA
223,0.14,0.251,0.453,0.053,0.074,0.14,0.453,0.235,0.041,0.428,0.572,DNA
224,0.156,0.215,0.422,0.037,0.044,0.156,0.444,0.252,0.052,0.467,0.533,DNA
225,0.181,0.138,0.511,0.053,0.043,0.181,0.511,0.266,0.021,0.553,0.447,DNA
226,0.148,0.188,0.463,0.034,0.04,0.148,0.49,0.235,0.067,0.463,0.537,DNA
227,0.2,0.16,0.47,0.033,0.057,0.2,0.473,0.257,0.037,0.437,0.563,DNA
228,0.178,0.122,0.511,0.033,0.044,0.178,0.467,0.267,0.011,0.533,0.467,DNA
229,0.132,0.297,0.436,0.138,0.069,0.132,0.448,0.301,0.026,0.554,0.446,DNA
230,0.166,0.154,0.457,0.016,0.097,0.166,0.433,0.267,0.024,0.441,0.559,DNA
231,0.129,0.192,0.483,0.035,0.066,0.129,0.486,0.241,0.021,0.503,0.497,DNA
232,0.143,0.238,0.478,0.077,0.089,0.143,0.51,0.269,0.021,0.47,0.53,DNA
233,0.167,0.213,0.395,0.025,0.116,0.167,0.415,0.304,0.028,0.425,0.575,DNA
234,0.121,0.242,0.506,0.033,0.067,0.121,0.414,0.216,0.039,0.614,0.386,DNA
235,0.14,0.254,0.456,0.099,0.09,0.14,0.471,0.295,0.054,0.533,0.467,DNA
236,0.151,0.238,0.501,0.067,0.087,0.151,0.499,0.232,0.038,0.481,0.519,DNA
237,0.111,0.278,0.501,0.101,0.085,0.111,0.516,0.226,0.047,0.575,0.425,DNA
238,0.128,0.181,0.544,0.073,0.071,0.128,0.543,0.222,0.03,0.532,0.468,DNA
239,0.246,0.23,0.421,0.048,0.056,0.246,0.429,0.317,0.024,0.492,0.508,DNA
240,0.246,0.246,0.405,0.048,0.056,0.246,0.421,0.317,0.024,0.492,0.508,DNA
241,0.246,0.246,0.405,0.048,0.056,0.246,0.413,0.317,0.024,0.484,0.516,DNA
242,0.246,0.254,0.397,0.048,0.056,0.246,0.413,0.317,0.024,0.492,0.508,DNA
243,0.244,0.283,0.386,0.024,0.063,0.244,0.417,0.276,0.024,0.465,0.535,DNA
244,0.118,0.189,0.528,0.059,0.094,0.118,0.516,0.227,0.029,0.504,0.496,DNA
245,0.102,0.22,0.441,0.024,0.079,0.102,0.441,0.197,0.063,0.425,0.575,DNA
246,0.213,0.252,0.362,0.047,0.047,0.213,0.323,0.276,0.039,0.472,0.528,DNA
247,0.208,0.2,0.416,0.032,0.144,0.208,0.448,0.296,0.04,0.4,0.6,DNA
248,0.137,0.287,0.39,0.08,0.062,0.137,0.415,0.257,0.032,0.54,0.46,DNA
249,0.148,0.209,0.536,0.111,0.072,0.148,0.538,0.29,0.046,0.538,0.462,DNA
250,0.252,0.244,0.398,0.033,0.057,0.252,0.439,0.317,0.024,0.472,0.528,DNA
251,0.204,0.207,0.422,0.04,0.082,0.204,0.432,0.307,0.033,0.453,0.547,DNA
252,0.163,0.199,0.457,0.049,0.035,0.163,0.439,0.256,0.031,0.55,0.45,DNA
253,0.189,0.277,0.435,0.066,0.073,0.189,0.418,0.26,0.054,0.541,0.459,DNA
254,0.135,0.264,0.451,0.063,0.084,0.135,0.471,0.24,0.053,0.53,0.47,DNA
255,0.159,0.193,0.487,0.052,0.09,0.159,0.46,0.247,0.035,0.411,0.589,DNA
256,0.121,0.274,0.487,0.141,0.058,0.121,0.504,0.288,0.032,0.604,0.396,DNA
257,0.141,0.115,0.526,0.03,0.06,0.141,0.504,0.201,0.013,0.479,0.521,DNA
258,0.155,0.232,0.427,0.092,0.063,0.155,0.464,0.298,0.04,0.527,0.473,DNA
259,0.143,0.167,0.489,0.049,0.03,0.143,0.498,0.219,0.027,0.483,0.517,DNA
260,0.126,0.248,0.466,0.099,0.042,0.126,0.489,0.26,0.027,0.615,0.385,DNA
261,0.137,0.164,0.452,0.014,0.068,0.137,0.479,0.233,0.014,0.521,0.479,DNA
262,0.166,0.26,0.417,0.086,0.061,0.166,0.445,0.296,0.052,0.552,0.448,DNA
263,0.153,0.203,0.459,0.03,0.088,0.153,0.486,0.266,0.045,0.441,0.559,DNA
264,0.197,0.225,0.493,0.028,0.056,0.197,0.535,0.239,0.056,0.394,0.606,DNA
265,0.189,0.221,0.421,0.021,0.079,0.189,0.453,0.258,0.016,0.421,0.579,DNA
266,0.155,0.222,0.428,0.035,0.12,0.155,0.45,0.242,0.042,0.438,0.562,DNA
267,0.184,0.189,0.465,0.0,0.038,0.184,0.449,0.2,0.027,0.47,0.53,DNA
268,0.118,0.284,0.492,0.12,0.071,0.118,0.503,0.271,0.035,0.605,0.395,DNA
269,0.148,0.127,0.546,0.052,0.079,0.148,0.493,0.223,0.017,0.459,0.541,DNA
270,0.174,0.162,0.519,0.048,0.063,0.174,0.519,0.245,0.046,0.462,0.538,DNA
271,0.159,0.169,0.452,0.034,0.097,0.159,0.438,0.248,0.028,0.455,0.545,DNA
272,0.14,0.194,0.511,0.054,0.079,0.14,0.46,0.223,0.032,0.543,0.457,DNA
273,0.175,0.186,0.475,0.0,0.044,0.175,0.437,0.208,0.044,0.481,0.519,DNA
274,0.162,0.184,0.498,0.061,0.07,0.162,0.502,0.251,0.031,0.487,0.513,DNA
275,0.154,0.164,0.495,0.043,0.075,0.154,0.493,0.226,0.027,0.432,0.568,DNA
