ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_26,22.96,42.47,17.17,89.28,52.01,42.37,48.21,15.82,34.96,25.88,86.78,27.80,15.43,36.31,34.19,21.31,24.02,24.98,46.55,36.23
Seq_27,15.18,0.00,52.80,10.41,95.57,18.36,52.86,25.73,18.77,12.31,39.71,30.57,47.24,23.73,20.52,20.07,89.14,17.11,0.00,0.00
Seq_28,18.24,75.86,79.01,44.14,33.51,29.82,55.81,44.41,27.59,15.49,133.86,30.39,71.64,44.38,37.16,20.87,31.73,37.21,95.50,97.74
Seq_29,14.86,0.00,22.82,17.70,46.21,16.22,95.56,30.14,16.28,69.43,64.52,27.20,22.95,30.32,38.29,23.19,38.56,28.46,90.03,63.96
Seq_30,24.14,137.67,26.22,49.34,41.23,22.68,80.47,34.00,47.66,29.83,96.23,26.56,28.65,28.88,48.88,34.95,21.61,41.77,75.08,48.99
Seq_31,29.98,310.10,33.72,51.30,35.09,27.34,63.77,37.97,38.16,43.59,113.55,27.03,22.73,35.60,44.60,58.03,21.82,41.07,82.69,60.62
Seq_32,28.71,58.44,40.95,38.87,51.47,20.56,58.59,88.11,48.45,18.01,176.35,96.54,21.78,57.34,18.99,18.12,41.08,47.84,91.78,79.64
Seq_33,11.54,0.00,49.07,16.10,33.55,22.83,70.01,16.61,24.48,13.22,31.01,23.31,44.51,15.42,24.13,13.38,30.59,23.90,0.00,0.00
Seq_34,22.73,214.89,31.27,65.57,73.76,25.22,41.47,56.15,90.74,25.03,54.20,52.14,18.79,44.90,36.12,26.24,58.51,35.20,161.00,71.72
Seq_35,34.37,51.68,17.34,21.35,39.35,59.18,28.00,19.63,11.55,9.68,30.07,28.69,20.84,37.16,39.44,13.54,35.07,15.96,0.00,54.51
Seq_36,17.73,0.00,12.36,22.11,32.91,17.58,0.00,21.14,32.94,11.41,46.78,31.76,16.82,46.71,13.62,14.36,18.11,12.59,0.00,38.73
Seq_37,23.52,164.57,36.13,64.76,56.54,56.08,67.31,32.72,22.83,23.54,88.52,63.58,46.64,41.57,35.19,20.28,21.55,30.66,53.95,64.07
Seq_38,11.78,75.11,45.55,26.69,56.74,24.38,46.03,38.05,105.02,10.94,75.49,0.00,64.05,46.83,16.44,37.00,17.27,29.78,93.57,63.88
Seq_39,32.28,193.99,27.88,14.53,43.21,24.25,50.88,35.05,43.70,16.00,28.00,94.82,20.04,42.45,25.01,31.70,37.31,18.20,91.37,52.77
Seq_40,28.74,99.82,46.46,23.22,130.66,33.59,39.35,35.55,34.09,19.92,99.03,41.25,21.10,27.74,58.66,29.02,33.84,34.32,119.19,90.55
Seq_41,13.62,0.00,51.98,30.15,34.14,33.08,54.33,28.27,15.95,14.88,134.01,91.12,43.45,20.36,14.62,21.80,17.37,23.22,0.00,46.12
Seq_42,13.19,74.15,51.98,30.15,44.63,36.04,54.33,33.02,17.30,15.14,67.07,91.12,31.19,21.60,14.52,32.28,15.78,21.83,0.00,37.74
Seq_43,13.19,93.57,51.98,30.15,44.63,36.04,54.33,33.02,17.30,15.14,67.07,91.12,31.19,21.60,14.52,27.04,15.78,21.83,0.00,37.74
Seq_44,13.53,93.57,51.98,30.15,44.63,27.77,54.33,27.94,17.30,15.14,106.56,91.12,31.19,21.60,14.52,25.98,15.78,24.93,0.00,37.74
Seq_45,14.39,54.77,51.22,29.61,53.25,27.94,54.16,32.50,25.79,14.88,105.59,56.69,31.33,21.23,14.43,25.81,15.52,21.85,0.00,37.41
Seq_46,12.89,59.04,51.98,30.15,44.63,62.32,54.33,33.02,17.40,15.14,67.07,91.12,31.19,21.60,15.13,34.90,15.78,17.27,0.00,37.74
Seq_47,16.24,118.65,33.90,33.40,79.55,50.01,32.76,26.74,28.90,11.96,277.56,28.33,26.63,31.63,18.86,63.00,63.21,19.76,89.02,59.02
Seq_48,41.39,222.40,31.20,32.70,74.71,20.65,66.95,40.97,73.42,31.51,89.13,123.39,34.62,50.61,70.37,46.45,31.47,37.61,188.96,101.81
Seq_49,24.75,49.26,42.09,19.35,28.21,23.78,163.76,49.97,37.36,16.36,114.00,37.19,25.55,39.42,28.54,31.51,32.44,32.72,98.98,69.50
Seq_50,41.16,56.71,43.91,32.92,50.09,30.66,71.41,40.54,52.23,22.22,69.76,69.90,32.56,31.73,38.76,27.98,31.03,35.81,230.18,59.37
Seq_51,25.21,39.45,16.74,21.41,43.40,14.14,0.00,15.37,15.42,11.84,40.10,60.49,70.32,28.75,27.75,17.78,14.99,14.96,74.06,40.10
Seq_52,15.21,56.80,110.35,14.23,43.90,51.95,79.35,33.87,30.72,13.80,93.50,34.29,44.98,41.21,40.65,32.37,48.19,48.76,118.32,87.35
Seq_53,25.30,68.31,34.53,22.09,40.19,42.88,76.97,25.59,17.73,25.88,81.93,36.94,61.91,32.13,48.88,22.77,43.61,33.95,100.64,50.80
Seq_54,13.62,0.00,28.17,16.29,48.78,17.53,54.68,12.90,27.82,14.74,40.65,21.80,0.00,30.91,12.11,17.45,17.44,26.27,0.00,0.00
Seq_55,18.69,162.57,84.26,37.87,73.84,23.45,100.53,31.53,38.05,25.85,55.26,65.71,39.16,28.32,59.89,32.16,38.58,25.16,281.99,105.18
Seq_56,38.05,198.40,34.44,24.34,38.82,37.19,88.74,39.24,26.08,24.30,103.65,29.79,40.10,39.12,42.26,30.99,29.10,23.73,53.46,66.56
Seq_57,15.20,89.91,56.57,20.85,37.85,28.18,48.95,20.65,40.74,23.07,53.54,44.47,39.43,64.20,24.50,40.76,38.61,20.37,81.55,38.42
Seq_58,36.53,294.14,27.16,22.56,41.32,40.33,95.10,32.61,22.18,19.66,88.55,33.21,52.66,40.23,39.22,28.32,39.42,42.47,133.30,62.59
Seq_59,39.19,21.04,72.14,91.98,27.15,35.67,68.60,13.13,29.15,45.59,44.38,14.81,43.34,25.62,36.18,24.83,15.16,25.67,92.03,42.70
Seq_60,19.76,61.34,50.18,35.63,30.19,30.46,65.52,13.19,19.28,19.95,49.96,32.12,43.35,50.74,22.29,24.38,36.86,24.01,0.00,32.66
Seq_61,49.74,84.62,87.14,14.18,29.99,36.65,50.23,14.90,23.15,13.85,64.96,20.74,49.48,30.58,27.13,21.21,35.49,33.58,107.44,47.31
Seq_62,22.01,99.45,58.65,48.13,62.75,57.62,48.71,39.40,52.53,31.67,58.82,34.33,52.37,24.32,43.43,19.72,31.74,34.72,220.96,83.03
Seq_63,41.32,64.61,22.34,21.70,20.19,26.25,90.58,20.76,16.04,24.27,88.15,48.18,55.62,72.49,40.12,36.44,107.27,31.17,113.68,34.14
Seq_64,41.57,74.23,47.56,25.97,30.24,38.64,42.73,94.27,39.93,25.94,91.15,54.79,15.92,26.78,34.36,26.31,76.61,41.98,221.15,56.59
Seq_65,35.62,69.63,31.06,26.04,26.89,39.25,49.17,42.18,36.45,29.98,49.68,48.99,15.39,25.69,38.45,22.75,47.68,41.16,195.26,37.96
Seq_66,25.58,206.03,51.52,33.33,83.61,47.49,106.12,46.42,48.93,23.38,90.50,31.59,37.53,21.79,40.45,23.83,38.87,27.56,147.59,62.27
Seq_67,27.01,54.31,34.97,35.25,34.94,24.12,92.51,40.18,74.51,23.17,61.43,47.63,43.71,34.86,34.55,20.44,33.36,35.37,96.37,38.46
Seq_68,27.43,185.92,30.65,29.95,82.16,37.93,144.89,43.40,15.69,24.27,95.47,43.15,44.96,46.04,34.85,18.23,38.84,38.54,328.07,56.89
Seq_69,32.70,73.98,35.69,25.40,28.61,56.34,65.71,35.85,26.91,26.75,54.46,40.33,45.86,49.60,51.79,29.28,49.60,36.25,115.44,48.30
Seq_70,37.92,199.21,34.03,49.51,74.78,29.31,56.79,40.70,61.00,32.30,84.65,52.72,19.83,29.73,34.30,20.73,29.42,28.28,188.29,47.05
Seq_71,25.18,100.81,22.88,33.56,32.41,35.36,80.34,20.50,12.97,25.78,58.03,36.10,51.20,94.00,60.40,17.59,37.75,20.91,69.32,41.85
Seq_72,34.01,150.02,27.71,32.77,89.16,32.24,60.67,57.42,47.89,14.52,74.61,78.15,37.64,49.34,51.61,15.74,56.57,23.67,279.72,140.73
Seq_73,24.26,59.97,33.36,41.19,55.25,33.66,94.26,54.41,48.87,27.03,68.03,44.15,50.04,40.22,39.70,27.52,135.60,34.19,262.27,68.20
Seq_74,26.06,39.02,32.84,38.74,50.15,16.54,101.02,33.13,61.29,26.17,130.53,51.56,28.70,47.84,30.00,27.02,35.12,27.56,78.62,108.85
Seq_75,11.91,95.17,36.51,37.68,712.69,19.19,42.32,54.44,49.59,15.78,476.30,113.31,21.07,17.93,31.83,29.91,19.88,21.20,746.12,696.83
Seq_76,23.35,70.21,26.50,26.24,41.25,27.83,117.94,38.74,24.14,14.04,54.88,86.80,57.88,58.21,30.80,24.81,40.05,26.42,99.70,73.17
Seq_77,34.78,112.44,29.42,41.60,30.95,26.31,55.36,33.51,42.00,14.03,52.75,93.69,27.20,24.93,32.01,52.88,23.73,35.24,85.15,23.56
Seq_78,19.37,0.00,34.67,18.17,33.02,16.46,41.16,47.53,65.31,32.71,45.41,55.91,43.27,39.18,22.69,21.72,41.38,24.01,68.25,22.74
Seq_79,12.56,82.73,80.01,26.15,43.36,15.99,50.85,77.34,44.30,14.84,190.31,60.30,19.82,160.19,12.83,49.21,41.80,34.36,77.15,32.92
Seq_80,26.85,63.43,36.48,26.95,32.12,35.11,84.95,91.94,31.85,41.45,94.92,41.04,34.24,41.09,45.77,30.88,38.59,48.80,161.23,58.48
Seq_81,35.61,263.01,69.73,48.01,51.53,55.13,101.50,30.34,49.84,19.70,109.93,42.24,18.77,38.28,70.86,13.90,28.94,28.65,264.34,204.70
Seq_82,38.12,80.89,44.32,46.63,54.07,24.64,68.34,33.21,39.30,19.72,61.97,39.67,49.76,53.38,46.99,27.81,39.56,29.66,225.80,109.50
Seq_83,42.00,93.17,38.29,26.71,36.46,43.24,130.39,20.07,27.08,21.95,167.96,37.21,40.86,48.18,38.22,22.16,48.87,38.56,299.88,60.99
Seq_84,28.04,105.78,24.94,29.22,32.35,32.60,64.73,32.05,27.14,22.55,49.62,21.02,66.15,47.25,28.11,21.13,33.61,43.61,83.18,67.09
Seq_85,20.97,130.10,42.65,20.61,45.80,29.57,127.18,33.58,41.76,15.79,62.50,58.93,45.42,27.03,21.79,34.40,38.24,36.34,83.96,52.93
Seq_86,29.37,49.00,57.77,35.01,81.27,40.57,54.36,42.73,28.83,79.81,133.01,44.64,45.25,25.46,67.65,19.92,24.79,24.73,75.18,41.43
Seq_87,40.37,53.29,26.74,13.32,101.70,89.18,0.00,19.98,32.50,9.12,119.32,13.59,71.12,19.96,15.07,19.40,36.93,17.93,103.24,31.20
Seq_88,54.73,107.40,26.85,24.18,34.90,33.16,73.59,17.62,21.29,16.73,90.51,46.16,48.31,60.99,41.06,26.36,27.64,21.71,145.35,33.84
Seq_89,249.20,270.16,49.70,72.75,62.62,46.19,48.98,89.90,48.06,28.21,44.34,10.95,71.12,55.42,70.99,14.63,96.93,124.20,287.09,72.33
Seq_90,38.64,79.98,30.04,16.90,40.97,28.02,116.06,20.42,18.15,20.79,53.90,43.37,29.98,25.86,27.16,13.69,32.51,34.88,107.24,37.57
Seq_91,25.18,75.90,60.09,29.95,71.15,69.36,68.33,35.05,30.19,25.70,49.83,32.32,48.16,22.09,38.92,20.36,51.97,54.85,239.66,74.81
Seq_92,12.21,57.80,24.25,12.87,45.02,68.60,52.07,31.46,13.22,17.69,52.65,34.38,117.60,25.61,20.36,22.03,24.00,39.50,0.00,50.64
Seq_93,40.39,86.21,40.94,41.14,50.21,29.16,66.23,69.60,65.96,24.06,57.82,54.10,19.94,57.21,32.22,23.12,25.35,55.76,170.82,68.92
Seq_94,32.39,54.00,52.51,36.92,45.22,21.59,65.79,74.02,42.02,22.46,63.06,59.83,25.93,50.36,42.16,20.65,24.99,43.37,176.96,60.89
Seq_95,20.20,0.00,22.74,22.93,52.33,29.93,71.78,20.51,20.28,10.31,68.80,22.72,69.42,16.74,38.72,30.35,15.02,39.05,0.00,42.96
Seq_96,18.07,0.00,19.73,15.09,24.24,22.04,48.04,0.00,16.86,11.93,39.31,0.00,68.05,22.70,21.27,35.37,43.68,9.52,0.00,0.00
Seq_97,28.35,79.96,38.74,22.90,86.96,28.81,84.08,73.06,27.60,42.09,63.71,52.00,31.94,48.41,72.31,44.94,26.97,36.60,444.84,87.36
Seq_98,28.59,55.28,37.19,25.15,79.72,37.31,54.70,78.78,27.69,31.59,73.28,102.76,31.95,46.73,20.68,39.71,57.73,58.79,151.23,70.16
Seq_99,17.42,731.25,40.77,16.70,49.30,27.27,98.88,108.19,64.53,9.46,120.39,147.93,33.71,70.06,19.93,81.68,53.22,26.00,385.40,53.35
Seq_100,29.90,144.49,35.24,34.42,57.86,50.99,109.80,31.70,29.79,22.01,69.20,31.20,63.82,49.61,41.48,19.86,28.33,27.77,177.65,54.10
Seq_101,26.73,183.12,49.76,31.22,40.62,32.89,72.57,44.07,32.01,24.64,67.03,81.40,41.21,29.52,44.41,18.33,43.77,33.63,96.27,50.11
Seq_102,10.99,0.00,32.97,35.45,73.21,26.18,47.63,25.95,16.04,13.28,31.61,33.06,61.95,35.90,31.82,10.54,52.58,22.09,0.00,61.54
Seq_103,15.99,39.61,27.04,17.10,44.43,29.30,42.82,36.12,30.92,18.68,44.73,47.44,38.16,32.16,23.24,41.95,31.07,17.80,0.00,59.50
Seq_104,43.97,71.72,34.68,35.30,52.09,34.07,81.12,60.06,32.60,18.82,105.01,37.27,22.57,35.05,53.12,17.62,41.47,42.40,57.92,57.00
Seq_105,38.07,53.01,51.92,17.33,34.76,40.53,103.08,39.50,38.10,14.71,51.62,32.44,33.48,48.35,28.92,21.15,40.96,37.98,103.39,71.54
Seq_106,16.27,47.74,25.53,24.41,87.04,30.11,94.40,99.86,64.51,29.47,84.63,71.49,21.39,60.22,25.54,26.00,46.02,59.20,183.36,79.53
Seq_107,50.70,301.19,33.88,13.56,24.74,45.61,102.62,17.50,13.91,14.95,117.47,36.64,120.42,70.66,21.94,56.43,38.22,21.65,318.93,39.04
Seq_108,6.03,0.00,14.06,12.13,63.19,14.86,39.19,7.85,12.22,15.88,33.01,0.00,56.72,0.00,8.92,22.72,23.19,32.87,0.00,0.00
Seq_109,27.46,256.28,42.60,22.89,40.13,33.24,56.85,16.77,39.25,14.60,52.03,30.66,26.94,31.15,31.40,23.56,27.42,32.56,302.00,48.74
Seq_110,35.78,119.86,21.93,14.19,118.34,34.26,70.77,32.43,14.32,7.52,44.98,86.98,32.27,22.58,43.30,25.76,15.80,41.59,80.34,42.89
Seq_111,18.96,79.36,27.23,26.65,90.30,93.06,71.79,22.19,31.98,25.55,101.97,35.33,38.12,28.22,24.35,19.24,31.35,60.73,187.45,127.44
Seq_112,14.88,61.82,50.97,33.39,52.20,25.97,66.89,154.90,52.73,28.67,81.79,76.81,25.29,31.43,38.56,19.60,43.36,55.92,122.60,34.29
Seq_113,34.43,70.51,31.10,33.94,65.84,29.46,86.53,42.00,36.06,13.63,74.67,45.03,35.11,49.97,22.66,19.76,36.49,27.25,212.80,59.36
Seq_114,31.79,104.74,43.36,41.24,55.86,39.65,71.11,57.24,24.24,20.39,110.96,48.97,21.57,33.65,53.69,20.90,49.53,45.86,610.42,70.02
Seq_115,26.58,154.95,48.55,49.42,29.92,32.52,84.15,26.33,27.86,39.04,82.08,46.96,47.38,31.33,43.20,24.33,51.47,27.55,101.98,51.81
Seq_116,14.55,133.43,27.07,33.81,64.93,34.47,33.96,61.07,64.59,22.81,53.44,87.40,27.93,24.40,33.52,36.46,26.51,28.15,94.01,72.17
Seq_117,8.75,0.00,17.89,41.33,18.20,13.14,32.08,18.05,9.49,18.14,46.40,20.61,49.02,27.64,22.39,19.77,17.31,20.14,0.00,17.30
Seq_118,32.44,81.17,28.50,25.04,40.78,30.57,63.76,33.86,80.90,26.04,65.72,83.74,44.14,25.36,28.91,27.35,64.36,48.12,129.45,50.06
Seq_119,18.44,101.52,45.55,56.70,78.72,31.44,54.70,65.72,59.36,29.51,95.05,133.58,33.90,53.06,48.78,33.86,87.51,65.22,0.00,65.49
Seq_120,22.25,121.95,37.84,36.68,80.22,18.87,75.30,129.23,138.17,20.17,80.10,97.70,27.66,43.53,37.20,30.04,37.68,37.54,394.48,78.54
Seq_121,42.15,0.00,22.51,10.90,41.99,18.81,75.06,12.88,11.49,8.41,23.43,27.40,0.00,44.99,22.20,12.26,21.71,35.23,0.00,33.29
Seq_122,19.08,157.53,31.61,18.17,47.26,25.05,63.50,35.99,35.92,17.42,144.11,66.48,41.01,46.54,24.92,36.36,32.75,17.16,174.67,121.41
Seq_123,40.02,137.79,46.83,23.62,40.23,41.45,77.34,34.20,13.78,22.00,59.90,33.97,60.62,33.14,31.31,37.36,31.97,21.68,0.00,106.17
Seq_124,36.21,143.54,45.95,35.05,96.89,35.11,112.58,18.32,27.01,24.71,94.61,33.54,44.22,51.47,159.24,17.93,28.95,27.64,421.69,126.13
Seq_125,26.54,58.46,24.64,15.37,0.00,29.97,47.25,12.07,19.99,10.09,141.01,41.99,32.09,24.01,19.47,25.11,22.02,24.72,87.29,86.67
Seq_126,29.15,152.91,29.39,18.46,48.12,24.07,120.76,12.88,15.91,28.78,61.49,30.36,84.25,35.77,18.31,27.09,23.16,29.95,0.00,32.25
Seq_127,38.98,69.07,71.96,43.03,81.34,28.96,90.97,34.40,38.78,26.49,102.67,33.00,25.75,56.29,59.06,15.37,39.04,28.66,363.97,73.57
Seq_128,15.27,240.68,62.54,27.89,70.93,33.75,159.01,109.79,43.44,15.29,162.53,69.37,34.64,50.37,67.81,22.34,34.54,39.79,0.00,116.37
Seq_129,27.80,64.51,52.52,79.37,78.77,24.51,33.08,66.07,51.22,17.66,89.65,72.83,16.49,69.76,45.36,19.49,25.71,42.11,113.08,56.22
Seq_130,45.05,61.74,32.57,29.93,75.54,14.06,47.83,19.98,11.73,21.36,87.46,42.65,58.89,32.61,30.77,33.89,21.03,19.47,83.56,39.14
Seq_131,37.12,150.03,25.00,22.69,59.54,44.86,60.27,21.63,17.25,14.41,45.16,21.51,48.50,31.09,31.87,54.73,46.63,20.48,144.40,70.62
Seq_132,22.76,0.00,19.78,40.48,49.26,29.29,0.00,70.91,37.47,9.59,46.67,14.99,32.47,13.24,26.17,50.82,27.40,16.56,0.00,25.64
Seq_133,27.21,126.01,82.16,59.27,43.52,21.04,58.80,52.70,63.11,25.87,58.80,27.88,29.48,38.30,40.52,26.98,30.38,23.35,244.88,63.75
Seq_134,40.89,372.76,38.28,21.88,50.50,25.70,60.71,20.91,15.82,18.97,95.68,32.52,50.21,52.04,35.46,30.31,26.69,39.70,127.27,44.31
Seq_135,41.10,69.78,60.66,41.33,85.24,17.34,55.60,166.05,74.50,22.62,164.51,50.56,15.52,48.61,33.30,15.80,28.43,45.38,234.50,68.99
Seq_136,34.98,15.74,18.74,54.96,21.65,86.85,41.46,32.01,13.03,10.59,52.55,33.76,38.22,30.46,40.02,38.19,17.55,23.82,86.16,65.54
Seq_137,14.95,49.12,49.03,60.48,57.73,65.53,312.19,115.55,45.34,23.62,243.82,65.25,18.76,56.24,43.50,28.87,53.94,51.40,163.78,40.95
Seq_138,32.21,190.69,43.83,22.99,70.60,23.90,93.40,29.96,25.15,24.51,104.56,41.18,35.10,27.40,45.79,43.24,35.75,25.26,64.37,86.87
Seq_139,55.69,79.24,38.02,54.40,37.89,61.00,46.27,28.09,24.00,14.44,99.43,28.80,32.44,42.04,37.53,22.34,29.09,42.76,72.52,54.54
Seq_140,32.83,140.01,26.50,24.73,32.49,51.46,51.90,21.05,22.84,20.46,57.57,43.67,36.56,45.56,46.26,20.70,48.01,33.43,432.87,72.25
Seq_141,46.64,138.74,35.91,40.40,46.54,42.55,78.02,49.15,86.82,25.82,127.37,66.80,32.83,28.36,37.21,17.14,41.41,40.33,169.57,41.82
Seq_142,28.90,99.27,31.12,15.96,36.31,21.60,106.39,21.81,16.66,12.42,63.41,43.48,29.77,67.06,26.83,23.31,53.20,24.41,0.00,68.03
Seq_143,32.00,79.87,27.97,33.35,50.60,31.00,92.14,47.57,19.98,22.07,177.97,34.98,38.45,43.72,33.63,27.16,34.97,38.79,234.60,82.26
Seq_144,19.60,77.02,21.06,14.35,67.49,32.68,82.23,55.04,12.09,72.81,56.24,58.12,31.27,94.06,35.12,36.81,50.43,58.07,74.38,39.13
Seq_145,17.92,0.00,49.71,18.75,73.38,20.49,60.04,11.70,15.18,15.55,91.01,37.40,39.16,23.12,28.90,45.34,18.06,20.31,45.70,17.76
Seq_146,29.09,154.19,18.73,20.07,37.48,32.29,62.75,22.53,15.56,19.96,38.23,31.01,158.79,21.65,43.29,52.77,28.73,18.55,146.76,44.86
Seq_147,24.38,108.49,25.32,33.00,40.34,46.50,65.48,21.00,26.04,20.20,194.57,27.00,21.63,101.96,22.21,25.15,20.51,29.87,55.43,88.35
Seq_148,37.65,104.58,31.40,14.55,21.46,21.20,39.89,36.41,18.48,20.77,158.50,20.49,24.45,38.47,51.03,41.21,29.92,25.14,39.68,46.71
Seq_149,28.43,65.36,40.98,30.39,137.65,21.30,93.81,200.23,57.84,21.13,136.29,92.63,20.23,63.24,23.39,29.12,46.89,36.25,101.55,379.93
Seq_150,25.53,74.85,72.65,44.36,50.34,25.20,130.54,138.90,97.04,16.00,163.57,108.83,24.35,61.71,22.73,23.42,50.90,66.57,198.69,76.95
Seq_151,51.45,343.13,42.01,92.13,73.87,30.12,109.33,63.91,81.19,22.78,39.26,34.78,27.14,54.21,51.13,15.52,32.98,31.50,301.84,102.92
Seq_152,19.61,116.01,23.59,18.62,87.20,23.20,59.66,22.99,21.77,14.73,60.72,118.47,48.14,63.30,26.11,22.27,20.53,62.90,104.57,39.80
Seq_153,31.16,287.00,52.48,39.88,96.48,47.80,55.95,43.33,32.76,22.38,179.19,40.86,35.27,50.48,33.17,14.37,46.98,25.20,143.99,89.94
Seq_154,27.62,68.66,27.35,23.89,68.72,21.64,60.56,50.83,30.20,19.57,53.90,107.50,21.66,33.22,41.90,16.09,57.38,36.87,42.88,59.97
Seq_155,15.25,62.50,50.00,32.83,64.96,20.47,53.99,48.14,46.07,14.54,176.94,50.03,17.36,36.05,27.39,23.02,26.70,32.71,143.19,83.41
Seq_156,55.39,78.72,30.59,23.56,36.80,33.17,89.94,43.64,15.90,20.91,121.36,38.58,43.18,47.91,23.32,19.11,27.44,35.46,150.84,104.68
Seq_157,17.91,130.03,33.76,57.38,34.02,26.49,60.02,97.63,44.98,42.08,71.11,60.04,22.43,60.70,38.35,34.19,38.69,40.18,92.26,69.14
Seq_158,19.05,118.32,71.91,178.10,102.10,34.32,118.54,83.87,80.61,48.79,72.15,116.36,12.97,38.50,57.35,22.07,31.55,43.12,192.74,50.70
Seq_159,26.38,31.40,84.18,68.71,42.72,20.99,40.49,35.99,48.02,19.06,74.59,27.84,17.84,54.29,37.98,20.03,34.71,39.42,192.07,0.00
