ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_15,6.61,1.38,6.11,7.40,2.96,7.00,1.87,4.73,12.43,8.88,2.47,3.55,4.34,3.35,3.25,8.38,4.14,6.71,1.28,3.16
Seq_16,7.62,0.95,4.76,13.33,1.90,3.81,2.86,6.67,7.62,8.57,2.86,3.81,5.71,2.86,6.67,5.71,5.71,3.81,1.90,2.86
Seq_17,7.47,1.12,5.70,7.56,3.83,7.75,1.87,5.88,6.63,8.12,2.15,3.55,4.20,2.52,5.14,8.12,5.98,7.47,0.93,4.01
Seq_18,9.70,0.61,5.45,8.48,4.85,13.94,0.00,2.42,3.64,4.24,1.21,3.03,5.45,1.82,8.48,9.70,7.27,7.27,1.82,0.61
Seq_19,14.06,0.00,3.12,3.91,0.78,11.72,4.69,7.03,10.94,9.38,0.78,0.78,2.34,3.91,7.03,6.25,6.25,5.47,0.00,1.56
Seq_20,12.50,0.00,3.12,3.91,0.78,11.72,4.69,7.03,10.94,9.38,0.78,0.78,2.34,3.91,7.03,7.03,6.25,6.25,0.00,1.56
Seq_21,8.67,0.00,3.06,11.22,5.61,4.59,1.02,7.14,5.10,13.78,3.06,5.61,2.04,4.08,10.71,6.12,3.06,3.06,0.51,1.53
Seq_22,5.46,1.29,5.03,4.89,4.02,8.19,1.87,4.45,3.88,7.61,2.01,6.03,9.20,8.48,4.17,7.61,7.33,6.03,0.29,2.16
Seq_23,4.03,0.67,7.05,7.05,5.70,6.38,2.01,8.05,9.73,6.38,4.03,3.69,4.03,3.02,4.70,5.70,7.05,6.04,0.67,4.03
Seq_24,4.11,1.37,8.22,8.81,3.52,5.68,2.54,5.28,8.41,7.44,3.13,5.68,3.33,3.91,5.28,8.41,6.26,4.50,1.57,2.54
Seq_25,7.87,0.79,3.94,13.39,4.72,3.15,1.57,5.51,8.66,7.87,3.94,6.30,1.57,3.15,5.51,10.24,2.36,7.09,0.00,2.36
Seq_26,6.12,2.72,8.16,2.04,4.08,4.08,2.04,8.16,5.44,8.16,2.72,4.76,10.20,3.40,5.44,7.48,5.44,3.40,2.04,4.08
Seq_27,12.15,0.00,0.93,10.28,0.93,9.35,1.87,4.67,7.48,10.28,2.80,2.80,3.74,4.67,10.28,9.35,1.87,6.54,0.00,0.00
Seq_28,9.42,2.31,5.12,7.77,5.62,5.29,2.48,3.31,6.61,10.74,1.49,5.29,2.48,4.46,4.96,8.10,5.45,4.79,1.82,2.48
Seq_29,11.11,0.00,6.79,8.64,2.47,11.11,0.62,5.56,13.58,1.85,2.47,3.70,5.56,3.09,4.32,8.64,4.32,3.70,0.62,1.85
Seq_30,8.31,0.82,5.86,3.27,4.09,8.17,2.72,3.95,4.77,6.13,1.77,6.27,7.63,5.45,4.36,6.13,9.40,4.77,2.18,3.95
Seq_31,7.43,0.55,5.50,3.71,4.54,8.80,2.06,4.26,5.09,5.78,1.93,7.70,8.39,4.40,4.40,5.23,8.53,5.64,2.06,3.99
Seq_32,6.08,4.11,4.29,5.01,3.22,10.20,2.68,1.61,4.29,10.55,0.89,1.25,9.66,3.40,8.41,10.55,3.58,5.55,2.15,2.50
Seq_33,11.11,0.00,1.39,6.94,2.78,9.72,1.39,5.56,2.78,8.33,4.17,8.33,1.39,11.11,6.94,9.72,4.17,4.17,0.00,0.00
Seq_34,7.13,1.26,7.34,3.56,2.52,9.01,6.29,3.35,3.56,7.13,5.03,3.77,10.27,5.66,3.77,8.81,3.77,4.82,0.63,2.31
Seq_35,6.94,1.39,8.33,9.72,1.39,1.39,2.78,6.94,8.33,13.89,4.17,6.94,4.17,4.17,4.17,5.56,1.39,6.94,0.00,1.39
Seq_36,8.86,0.00,8.86,6.33,3.80,7.59,0.00,5.06,2.53,11.39,2.53,2.53,7.59,1.27,10.13,7.59,6.33,6.33,0.00,1.27
Seq_37,6.45,0.81,6.45,3.43,2.82,6.05,3.02,5.44,9.68,7.46,1.61,3.83,4.03,5.65,5.65,9.68,8.06,4.84,2.22,2.82
Seq_38,13.02,0.93,4.65,6.05,2.33,7.44,2.79,4.19,1.40,11.16,2.33,0.00,4.19,3.26,12.09,4.65,7.91,8.37,0.93,2.33
Seq_39,4.80,0.44,5.68,10.48,3.93,6.55,3.06,4.80,3.06,8.73,5.24,2.18,6.11,3.06,9.61,3.93,5.24,9.61,1.31,2.18
Seq_40,6.60,1.57,4.72,8.02,2.04,4.72,4.09,4.56,6.92,8.02,1.57,4.87,8.02,5.50,4.72,8.96,5.82,5.19,1.89,2.20
Seq_41,11.76,0.00,2.94,5.15,3.68,5.15,1.47,5.15,11.76,9.56,0.74,0.74,3.68,5.88,12.50,7.35,6.62,4.41,0.00,1.47
Seq_42,13.24,1.47,2.94,5.15,2.94,5.15,1.47,5.15,9.56,8.82,2.21,0.74,4.41,5.88,13.24,3.68,7.35,4.41,0.00,2.21
Seq_43,13.24,0.74,2.94,5.15,2.94,5.15,1.47,5.15,9.56,8.82,2.21,0.74,4.41,5.88,13.24,4.41,7.35,4.41,0.00,2.21
Seq_44,13.24,0.74,2.94,5.15,2.94,5.88,1.47,5.88,9.56,8.82,1.47,0.74,4.41,5.88,13.24,4.41,7.35,3.68,0.00,2.21
Seq_45,12.59,1.48,2.96,5.19,2.22,5.19,1.48,5.19,8.15,9.63,1.48,1.48,4.44,5.93,13.33,4.44,8.15,4.44,0.00,2.22
Seq_46,13.24,1.47,2.94,5.15,2.94,4.41,1.47,5.15,10.29,8.82,2.21,0.74,4.41,5.88,13.24,2.94,7.35,5.15,0.00,2.21
Seq_47,9.06,0.65,4.53,6.15,2.59,2.59,5.50,5.18,6.15,12.62,0.65,4.85,5.50,7.12,7.77,3.56,3.88,7.44,1.62,2.59
Seq_48,6.04,1.93,7.49,8.45,2.66,13.04,7.25,4.83,7.73,4.83,1.93,1.93,5.56,3.62,3.38,5.56,5.80,6.04,0.48,1.45
Seq_49,8.38,3.24,5.95,7.03,4.32,6.76,1.62,4.32,4.86,10.00,1.62,4.59,6.22,3.51,5.68,6.76,5.95,5.14,1.62,2.43
Seq_50,4.55,3.90,4.33,5.84,3.46,7.14,1.73,4.76,5.84,9.96,3.03,3.25,9.52,4.33,5.19,9.52,6.71,4.11,0.22,2.60
Seq_51,7.69,1.28,6.41,5.13,1.28,7.69,0.00,7.69,7.69,11.54,2.56,2.56,1.28,5.13,3.85,7.69,8.97,7.69,1.28,2.56
Seq_52,12.50,2.27,5.11,11.36,1.70,2.84,1.14,6.25,5.68,9.09,1.70,5.11,2.27,10.23,4.55,9.66,2.84,4.55,0.57,0.57
Seq_53,7.55,2.77,4.93,7.40,3.70,4.78,2.31,6.32,9.24,8.32,3.39,4.93,2.62,5.39,3.70,7.55,4.93,5.86,1.08,3.24
Seq_54,12.82,0.00,3.85,8.97,1.28,7.69,1.28,8.97,2.56,8.97,2.56,6.41,0.00,3.85,10.26,7.69,5.13,7.69,0.00,0.00
Seq_55,12.52,0.54,4.11,7.51,2.86,7.69,1.25,5.55,5.72,7.69,3.58,2.33,6.80,6.98,3.40,6.26,5.19,7.51,0.54,1.97
Seq_56,5.74,2.13,5.25,7.21,4.75,4.92,1.80,4.92,7.54,6.89,1.48,5.74,4.75,5.08,4.10,7.70,5.57,8.52,2.79,3.11
Seq_57,10.85,1.17,4.40,8.21,3.23,6.74,2.35,6.16,4.40,7.33,4.69,4.11,4.69,2.93,7.33,4.99,4.69,7.04,1.17,3.52
Seq_58,5.14,0.80,7.26,9.57,4.16,4.52,1.95,5.58,10.54,10.98,1.77,5.40,3.63,4.07,5.40,6.11,4.34,4.16,1.15,3.45
Seq_59,3.76,6.77,0.75,1.50,3.76,5.26,2.26,11.28,3.76,7.52,2.26,9.02,4.51,4.51,4.51,7.52,11.28,6.02,0.75,3.01
Seq_60,9.60,1.52,4.04,4.04,4.55,4.04,2.02,10.61,8.08,7.58,2.53,5.56,4.55,3.03,6.06,7.07,4.04,6.57,0.00,4.55
Seq_61,3.17,1.59,2.38,8.73,3.97,2.38,3.17,9.52,11.11,7.94,3.17,11.11,2.38,3.97,6.35,7.94,4.76,3.97,0.79,1.59
Seq_62,9.53,1.16,3.95,6.74,2.33,8.60,3.26,4.88,4.88,6.28,3.26,5.35,3.72,6.98,5.12,11.16,5.35,4.42,0.47,2.56
Seq_63,4.11,2.05,6.85,9.93,7.19,5.48,1.03,8.22,10.62,7.19,2.74,5.82,2.40,2.74,4.45,4.79,1.71,6.16,1.03,5.48
Seq_64,5.88,2.16,5.69,7.45,4.90,6.08,3.33,1.57,4.12,7.45,2.94,2.16,13.92,6.86,5.49,7.06,2.94,4.31,0.78,4.90
Seq_65,4.61,2.31,5.66,7.76,5.24,4.82,3.35,2.73,4.61,5.66,3.98,3.98,11.32,6.29,6.08,8.18,3.14,4.19,0.84,5.24
Seq_66,6.95,0.79,4.19,7.60,1.97,4.06,2.88,3.80,5.77,10.09,2.62,5.50,7.60,9.83,4.59,7.86,4.59,5.90,0.92,2.49
Seq_67,6.00,2.60,4.80,6.60,3.80,7.00,2.00,4.20,6.20,7.20,2.80,4.20,6.40,4.60,5.00,8.60,6.60,6.80,1.20,3.40
Seq_68,6.79,0.78,6.36,7.93,2.35,5.31,1.83,4.79,13.85,7.32,2.44,3.75,4.27,3.66,4.27,11.50,4.97,4.53,0.70,2.61
Seq_69,5.37,2.12,6.78,8.05,5.08,5.08,2.68,4.24,8.90,10.03,3.25,4.80,4.52,4.10,3.81,6.64,4.38,4.80,1.69,3.67
Seq_70,6.65,0.77,4.86,3.84,2.05,8.95,2.30,4.86,3.58,5.63,1.53,3.07,9.97,4.86,6.65,11.51,6.65,7.42,0.51,4.35
Seq_71,5.25,0.98,7.54,6.56,3.93,3.93,1.97,8.52,11.80,7.54,2.95,5.57,2.62,1.31,3.61,7.87,3.61,6.23,1.97,6.23
Seq_72,6.24,0.95,6.81,6.05,3.21,5.48,2.46,3.21,5.10,11.15,2.27,2.84,10.02,4.35,3.59,13.23,4.73,6.24,0.57,1.51
Seq_73,8.27,3.74,5.31,5.31,3.54,10.04,2.17,4.33,4.33,8.86,2.76,4.33,4.72,5.71,7.28,10.24,1.57,4.72,0.39,2.36
Seq_74,7.80,4.23,4.01,6.01,3.79,10.24,2.00,4.45,3.34,7.35,1.56,3.34,9.35,3.56,7.13,6.90,4.68,7.35,1.78,1.11
Seq_75,13.04,1.89,4.30,3.57,1.02,8.81,3.42,3.20,2.77,12.53,0.87,1.97,7.36,9.25,5.24,4.88,5.68,9.54,0.36,0.29
Seq_76,6.27,1.57,5.88,8.24,5.10,5.88,2.16,4.12,6.86,10.98,3.14,3.14,3.92,4.12,7.06,6.86,4.90,6.27,1.37,2.16
Seq_77,7.61,1.04,6.23,5.54,4.84,6.92,2.42,5.54,3.46,10.73,2.77,1.73,5.88,6.23,7.96,4.15,6.57,4.15,1.38,4.84
Seq_78,12.21,0.00,4.58,9.92,3.05,11.45,2.29,1.53,6.11,4.58,3.05,2.29,2.29,3.05,8.40,12.21,2.29,4.58,1.53,4.58
Seq_79,11.42,1.83,2.28,7.31,4.11,9.59,3.65,0.91,2.74,14.16,1.37,1.37,8.22,1.37,10.96,3.65,4.57,5.94,1.37,3.20
Seq_80,6.01,3.32,5.63,6.39,5.12,6.78,2.43,2.43,6.39,11.00,1.92,3.84,6.65,4.99,4.86,8.57,4.73,4.60,1.28,3.07
Seq_81,4.87,0.46,4.18,5.10,3.71,3.94,1.16,5.34,7.42,10.90,1.62,4.87,12.06,3.94,2.09,13.92,6.73,4.87,0.93,1.86
Seq_82,6.28,2.81,4.55,6.06,3.68,6.93,3.25,4.33,5.63,10.39,3.68,3.90,7.58,3.03,5.41,9.74,5.19,5.19,0.43,1.95
Seq_83,5.19,2.16,6.28,6.39,5.52,3.35,2.27,6.93,6.71,9.63,1.52,5.30,5.09,4.65,4.87,10.50,5.19,4.98,0.43,3.03
Seq_84,4.96,1.39,6.55,6.15,4.17,4.56,2.58,5.16,6.94,9.92,2.58,7.54,2.78,4.76,6.94,9.33,4.17,4.37,2.38,2.78
Seq_85,9.17,0.83,5.28,8.19,3.06,7.08,2.50,4.31,3.33,10.83,3.33,4.31,2.78,6.53,8.33,4.86,4.58,5.69,1.81,3.19
Seq_86,5.16,2.99,3.53,6.25,2.45,3.80,5.16,3.53,7.07,6.79,2.99,4.62,4.89,6.25,3.80,8.70,7.61,8.15,2.17,4.08
Seq_87,3.85,1.54,4.62,10.77,0.77,2.31,0.00,8.46,6.92,14.62,1.54,7.69,0.77,6.92,6.92,6.92,3.08,7.69,0.77,3.85
Seq_88,3.93,1.39,6.70,7.62,5.54,6.00,1.85,9.70,7.16,9.47,2.54,4.85,3.23,3.00,4.39,5.31,6.24,6.24,0.69,4.16
Seq_89,1.72,1.35,4.43,3.20,2.83,4.55,3.69,2.95,5.78,7.63,4.55,26.94,2.34,4.43,2.71,12.92,2.46,2.46,0.62,2.46
Seq_90,3.74,1.87,4.21,8.41,4.21,4.21,1.40,8.41,6.07,8.41,3.27,4.67,4.67,5.14,8.88,8.88,4.67,4.67,0.93,3.27
Seq_91,9.31,1.33,4.26,7.98,1.86,7.71,2.39,5.59,6.12,6.65,4.79,4.79,5.85,7.45,5.59,8.51,3.46,2.39,0.27,3.72
Seq_92,10.14,2.17,3.62,14.49,3.62,2.17,1.45,4.35,10.14,7.25,2.17,4.35,0.72,7.25,6.52,7.25,5.80,4.35,0.00,2.17
Seq_93,6.11,2.54,5.09,7.63,2.80,5.85,3.05,2.04,5.09,8.14,3.05,3.56,11.45,3.82,6.62,9.67,5.60,4.58,1.02,2.29
Seq_94,5.94,3.10,4.39,8.27,3.36,6.20,2.84,2.33,6.20,9.04,2.58,2.07,9.82,3.62,6.20,9.04,5.94,5.17,0.78,3.10
Seq_95,5.04,0.00,5.04,8.63,3.60,4.32,2.16,5.04,7.19,12.23,4.32,5.04,0.72,9.35,5.04,6.47,8.63,2.88,0.00,4.32
Seq_96,9.88,0.00,8.64,7.41,4.94,7.41,2.47,0.00,7.41,17.28,2.47,0.00,1.23,6.17,6.17,3.70,1.23,13.58,0.00,0.00
Seq_97,5.64,3.71,5.50,10.73,2.34,5.36,4.54,3.03,8.94,4.81,3.16,3.30,6.88,5.50,6.19,4.68,6.46,6.60,0.14,2.48
Seq_98,6.10,5.03,7.01,8.84,2.29,5.18,2.90,3.35,7.01,6.71,1.98,2.13,7.77,6.10,10.82,6.40,3.35,3.51,1.07,2.44
Seq_99,11.84,0.12,4.32,11.10,3.82,7.64,1.36,1.73,3.08,16.52,1.73,0.86,5.92,2.71,10.11,2.71,4.32,6.41,0.25,3.45
Seq_100,5.76,1.58,4.63,7.90,3.84,3.50,1.69,5.98,6.09,8.80,2.60,6.77,4.40,3.72,4.97,10.72,6.77,6.09,1.24,2.93
Seq_101,8.53,1.15,3.92,6.91,4.15,6.45,2.76,5.53,5.99,6.68,2.30,3.00,6.91,5.76,4.61,10.37,4.61,4.84,1.38,4.15
Seq_102,13.56,0.00,2.54,7.63,1.69,4.24,2.54,5.08,6.78,11.86,4.24,2.54,3.39,4.24,4.24,13.56,2.54,6.78,0.00,2.54
Seq_103,10.53,5.26,4.68,9.36,2.92,3.51,5.26,2.92,5.26,11.11,2.92,1.75,4.09,6.43,5.85,3.51,5.26,7.60,0.00,1.75
Seq_104,5.05,2.75,6.42,5.96,3.90,5.50,2.98,2.75,5.28,8.26,2.06,5.28,9.63,5.50,5.05,9.63,3.90,3.67,2.29,4.13
Seq_105,6.35,3.31,4.70,10.50,3.59,5.52,1.93,5.25,4.97,10.77,3.04,4.97,4.42,2.49,5.80,7.73,5.52,4.97,1.38,2.76
Seq_106,11.64,2.83,7.86,5.97,2.52,6.92,2.52,2.20,2.83,8.49,1.57,2.83,11.64,2.83,7.86,9.75,4.09,2.52,0.31,2.83
Seq_107,5.26,0.75,4.76,12.28,5.76,4.76,1.75,8.02,13.28,10.78,1.25,4.26,1.00,2.26,6.27,4.01,3.26,6.52,0.25,3.51
Seq_108,15.94,0.00,7.25,10.14,1.45,5.80,1.45,14.49,10.14,7.25,2.90,0.00,2.90,0.00,11.59,2.90,2.90,2.90,0.00,0.00
Seq_109,6.58,0.33,3.29,7.89,3.62,5.26,2.96,8.22,4.93,12.17,2.63,3.95,5.92,4.61,5.92,6.25,4.93,5.92,0.33,4.28
Seq_110,3.40,0.68,4.76,9.52,1.36,4.76,2.04,3.40,10.20,20.41,4.08,2.72,2.72,6.12,3.40,6.12,7.48,2.04,0.68,4.08
Seq_111,8.24,1.60,5.85,6.12,2.13,2.39,2.66,7.45,6.91,7.45,2.13,6.12,5.85,7.98,6.38,10.11,4.52,4.52,0.53,1.06
Seq_112,11.62,2.46,3.17,4.93,2.82,9.15,1.76,2.11,5.63,6.69,1.41,2.82,11.62,4.58,5.63,7.75,4.93,4.23,1.41,5.28
Seq_113,6.03,2.17,5.18,7.72,3.11,5.27,2.45,4.99,5.46,13.37,2.17,3.58,4.80,3.67,6.87,8.76,4.52,6.69,0.94,2.26
Seq_114,6.23,1.68,4.63,7.24,3.03,5.56,3.96,3.79,9.01,9.34,1.60,3.87,8.16,4.88,4.55,10.94,4.04,4.12,0.51,2.86
Seq_115,7.28,1.64,4.69,6.34,4.93,6.10,3.05,5.63,6.57,6.34,3.05,3.99,6.57,5.40,5.16,8.45,4.46,5.87,1.17,3.29
Seq_116,12.83,0.38,5.28,4.15,2.26,7.92,5.28,4.15,3.40,6.04,3.40,1.89,7.17,11.70,4.15,4.53,6.42,3.77,1.13,4.15
Seq_117,12.12,0.00,4.55,4.55,4.55,6.06,1.52,7.58,12.12,4.55,3.03,4.55,3.03,4.55,4.55,4.55,9.09,4.55,0.00,4.55
Seq_118,4.65,3.64,4.65,7.88,3.84,7.27,2.83,5.05,4.44,10.51,3.23,3.64,6.46,5.05,6.06,9.09,3.43,3.43,0.81,4.04
Seq_119,13.69,1.12,4.19,5.87,2.79,11.73,3.91,2.23,4.19,7.54,1.68,2.51,15.08,4.47,5.87,5.31,2.51,3.07,0.00,2.23
Seq_120,8.78,1.33,5.22,7.00,2.44,10.33,3.22,2.44,4.22,11.67,1.89,2.11,7.78,4.78,5.78,7.33,5.22,5.56,0.22,2.67
Seq_121,1.27,0.00,5.06,10.13,5.06,3.80,1.27,10.13,11.39,13.92,5.06,3.80,0.00,1.27,5.06,10.13,3.80,6.33,0.00,2.53
Seq_122,10.13,1.19,5.07,9.69,3.87,7.60,2.38,4.62,4.77,10.13,1.49,2.98,4.47,3.13,6.86,4.47,5.22,9.99,0.60,1.34
Seq_123,7.00,0.58,3.79,7.29,5.54,4.08,1.46,6.12,13.12,8.75,2.92,4.66,3.50,5.54,4.37,4.96,7.00,7.87,0.00,1.46
Seq_124,4.32,1.64,6.99,6.55,2.68,4.76,2.38,8.33,5.80,7.89,1.64,5.36,5.95,5.06,3.27,11.16,7.14,5.65,0.30,3.12
Seq_125,4.90,1.40,4.90,7.69,0.00,4.90,2.10,11.19,6.29,13.99,0.70,2.80,3.50,6.99,7.69,6.99,6.99,4.90,1.40,0.70
Seq_126,5.91,0.45,5.45,7.27,3.18,6.82,0.91,12.27,7.27,7.27,1.82,3.64,2.27,4.09,6.82,5.45,7.27,6.36,0.00,5.45
Seq_127,4.78,2.74,3.46,5.59,3.46,6.61,2.03,4.27,5.28,7.42,2.54,5.28,7.62,4.88,3.76,15.14,4.98,6.40,0.61,3.15
Seq_128,17.87,0.58,2.88,6.34,2.59,9.51,0.86,1.73,5.19,10.95,1.15,1.73,11.82,4.32,4.03,8.36,4.61,4.03,0.00,1.44
Seq_129,5.87,2.71,2.93,2.71,2.26,8.13,7.00,1.58,4.74,7.90,2.71,3.84,10.84,2.71,4.97,13.77,7.22,3.84,1.13,3.16
Seq_130,2.30,1.72,4.02,6.32,2.30,10.92,5.17,7.47,12.64,6.32,1.15,5.75,2.30,4.60,4.02,4.60,5.75,6.90,1.15,4.60
Seq_131,5.67,0.81,8.91,5.67,3.64,3.64,2.83,8.91,8.10,10.12,3.64,6.88,2.83,4.45,4.86,4.05,4.05,8.10,0.40,2.43
Seq_132,5.10,0.00,6.12,4.08,2.04,5.10,0.00,1.02,7.14,12.24,6.12,8.16,2.04,10.20,6.12,4.08,6.12,10.20,0.00,4.08
Seq_133,7.28,1.86,3.05,4.57,4.40,7.28,2.54,5.08,4.06,6.26,3.21,6.77,6.94,4.74,5.25,10.15,6.26,7.28,0.51,2.54
Seq_134,4.63,0.34,4.46,7.89,4.46,8.40,2.06,9.26,9.78,9.09,1.89,5.49,2.92,3.09,4.63,5.66,5.15,5.83,1.37,3.60
Seq_135,5.88,2.80,3.53,5.70,2.17,10.58,3.62,1.54,2.98,8.05,1.90,3.16,13.47,4.34,5.97,11.57,5.24,3.98,0.45,3.07
Seq_136,3.91,7.03,6.25,1.56,7.81,2.34,3.12,3.91,13.28,10.94,2.34,4.69,5.47,3.12,3.91,3.91,7.81,6.25,0.78,1.56
Seq_137,16.05,2.16,3.09,5.25,3.09,6.17,0.31,1.54,4.63,8.64,0.62,3.40,12.65,5.25,7.72,6.48,3.09,4.63,0.62,4.63
Seq_138,6.69,1.39,4.39,7.46,2.44,7.53,1.88,6.97,8.50,7.67,2.02,4.04,5.37,6.62,4.81,4.11,6.13,6.69,2.58,2.72
Seq_139,3.24,1.44,5.23,5.95,4.50,4.14,2.88,6.49,6.49,10.81,1.44,4.86,4.86,6.49,4.68,9.01,6.31,5.59,2.16,3.42
Seq_140,5.35,1.98,7.13,6.93,5.35,4.16,2.77,6.93,7.72,10.30,3.37,3.17,4.95,4.75,3.76,7.72,5.15,4.75,0.20,3.56
Seq_141,4.01,0.96,6.10,6.58,3.37,4.17,2.09,4.49,3.21,6.26,1.93,4.65,5.14,8.83,7.38,13.96,7.87,4.65,0.64,3.69
Seq_142,7.56,0.84,4.20,9.66,5.46,7.56,2.52,6.72,8.40,12.18,2.10,4.62,3.78,1.26,6.30,5.46,2.10,7.56,0.00,1.68
Seq_143,5.67,2.36,6.62,6.26,3.78,5.32,1.89,5.08,8.75,8.51,1.18,4.96,5.56,4.14,5.32,11.58,4.85,5.32,0.59,2.25
Seq_144,8.84,1.40,9.30,16.74,4.19,5.12,1.40,1.86,20.00,1.86,2.79,1.86,6.05,0.93,3.72,5.12,2.33,2.33,0.93,3.26
Seq_145,6.45,0.00,2.15,9.68,1.08,5.38,1.08,10.75,12.90,9.68,1.08,2.15,2.15,6.45,3.23,3.23,6.45,8.60,1.08,6.45
Seq_146,7.18,0.51,6.15,7.18,3.59,6.15,3.08,5.64,10.26,13.33,3.59,4.10,1.03,6.15,4.10,2.05,4.10,7.69,0.51,3.59
Seq_147,6.83,1.20,5.22,5.62,4.42,4.02,1.61,6.83,8.43,7.23,1.61,6.43,8.84,2.01,6.83,7.63,6.02,4.82,3.21,1.20
Seq_148,4.95,0.50,5.94,8.42,5.45,7.92,2.48,5.45,8.42,9.41,0.99,5.94,4.46,3.47,4.46,3.96,4.46,5.94,2.97,4.46
Seq_149,6.34,4.47,4.18,6.92,1.15,9.51,2.16,0.86,4.61,12.82,1.73,1.59,12.54,2.45,10.95,8.36,3.46,4.03,1.73,0.14
Seq_150,8.49,2.19,3.29,4.93,2.74,10.68,0.82,2.47,3.29,9.86,1.10,1.64,16.99,3.29,8.49,9.32,5.21,2.19,0.82,2.19
Seq_151,4.93,0.59,4.34,4.34,1.97,6.71,1.58,3.35,4.14,7.89,3.75,5.72,11.44,6.90,4.73,13.21,6.71,5.13,0.39,2.17
Seq_152,9.27,1.12,5.90,7.02,1.97,6.46,2.81,8.15,7.02,8.99,2.25,2.53,3.09,2.25,9.55,7.87,5.90,2.81,1.12,3.93
Seq_153,8.33,0.32,5.77,6.41,1.60,3.85,4.17,3.53,6.41,7.05,1.60,6.09,7.37,3.21,5.77,12.82,7.05,6.73,0.64,1.28
Seq_154,7.76,1.49,4.78,7.76,2.39,6.27,2.69,4.48,5.67,10.15,2.39,1.49,8.06,4.78,5.07,11.04,2.99,4.48,3.28,2.99
Seq_155,9.55,2.23,3.50,4.46,2.23,6.69,2.55,2.87,2.87,14.33,0.96,2.23,10.51,5.10,5.73,9.24,8.28,3.82,0.96,1.91
Seq_156,4.31,2.41,5.34,8.62,4.14,5.34,2.07,3.79,10.52,8.62,1.38,4.31,4.66,2.93,6.03,10.52,5.86,5.17,1.72,2.24
Seq_157,13.07,1.76,5.53,5.03,5.03,7.54,2.76,1.51,5.53,6.03,3.02,3.52,11.06,2.76,5.78,5.53,5.03,5.78,1.01,2.76
Seq_158,13.56,0.80,3.19,2.66,1.60,6.12,4.26,1.60,3.72,6.38,4.52,2.39,14.89,3.72,4.79,10.11,6.12,4.52,0.53,4.52
Seq_159,11.11,6.57,1.52,5.05,3.54,8.08,3.03,3.54,7.07,7.07,2.53,5.05,8.08,2.53,6.06,10.61,4.04,4.04,0.51,0.00
